route,dependency_count,dependencies
Acknowledgements,39,"Affjax.ResponseFormat;Affjax.Web;Control.Alt;D3.Viz.TreeAPI.SankeyDiagram;Data.Array;Data.Either;Data.Maybe;Data.String.CodeUnits;Data.String.Pattern;DataViz.Layout.Sankey.CSV;DataViz.Layout.Sankey.Compute;DataViz.Layout.Sankey.Path;DataViz.Layout.Sankey.Types;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Acknowledgements;Hylograph.Expr.Datum;Hylograph.Expr.Expr;Hylograph.Expr.Friendly;Hylograph.Expr.Interpreter.Eval;Hylograph.Expr.Sugar;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Hylograph.RoutingDSL;Hylograph.Shared.Footer;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match;Type.Proxy;Web.DOM.Element"
AnimatedAttrTest,1,ARCHIVED
AnimatedTreeCluster,43,"Affjax.ResponseFormat;Affjax.Web;Component.AnimatedTreeCluster;Control.Comonad.Cofree;D3.Viz.AnimatedTreeClusterv2;Data.Argonaut.Core;Data.Array;Data.Either;Data.List;Data.Map;Data.Maybe;Data.Nullable;Data.Time.Duration;Data.Tree;Data.Tuple.Nested;DataViz.Layout.Hierarchy.Cluster;DataViz.Layout.Hierarchy.Tree;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Class.Console;Foreign;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.Data.Tree;Hylograph.Expr.Animation;Hylograph.Expr.Datum;Hylograph.Expr.Expr;Hylograph.Expr.Integration;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Capabilities.Transition;Hylograph.Internal.Selection.Types;Hylograph.Internal.Transition.Types;Hylograph.Interpreter.D3;Hylograph.Shared.DataLoader;Hylograph.Shared.FlareData;Prelude;Type.Proxy;Unsafe.Coerce;Web.DOM.Element"
ChartBuilder,54,"Component.ChartBuilder;Component.ChartBuilder.Data;Component.ChartBuilder.Rendering;Component.ChartBuilder.Templates;Component.ChartBuilder.Types;Control.Alt;Control.Comonad.Cofree;Data.Array;Data.Either;Data.Enum;Data.Eq.Generic;Data.Foldable;Data.Generic.Rep;Data.List;Data.Map;Data.Maybe;Data.Show.Generic;Data.String;Data.String.CodeUnits;Data.Tree;Data.Tuple;Effect;Effect.Aff.Class;Effect.Class;EmmetParser.Converter;EmmetParser.Parser;EmmetParser.Types;EmmetParser.Validator;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Friendly;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Parsing;Parsing.Combinators;Parsing.String;Parsing.String.Basic;Prelude;Routing.Match;TreeBuilder3.TypePropagation;TreeBuilder3.Types;Web.DOM.Document;Web.DOM.Element;Web.DOM.Node;Web.HTML;Web.HTML.HTMLDocument;Web.HTML.Window"
Example,118,"Affjax.ResponseFormat;Affjax.Web;CodeSnippets;Component.Example;Control.Alt;Control.Comonad.Cofree;Control.Monad.Rec.Class;D3.Viz.SimpleForceGraph;D3.Viz.TreeAPI.AnscombesQuartet;D3.Viz.TreeAPI.BarChartExample;D3.Viz.TreeAPI.ChordDiagram;D3.Viz.TreeAPI.ClusterViz;D3.Viz.TreeAPI.EdgeBundleViz;D3.Viz.TreeAPI.GroupedBarChartExample;D3.Viz.TreeAPI.HorizontalTreeViz;D3.Viz.TreeAPI.LineChartExample;D3.Viz.TreeAPI.MultiLineChartExample;D3.Viz.TreeAPI.NestedElementsExample;D3.Viz.TreeAPI.PackViz;D3.Viz.TreeAPI.PartitionViz;D3.Viz.TreeAPI.RadialStackedBarExample;D3.Viz.TreeAPI.RadialTreeViz;D3.Viz.TreeAPI.SankeyDiagram;D3.Viz.TreeAPI.ScatterPlotExample;D3.Viz.TreeAPI.SimpleTreeExample;D3.Viz.TreeAPI.SunburstViz;D3.Viz.TreeAPI.ThreeLittleCircles;D3.Viz.TreeAPI.ThreeLittleCirclesTransition;D3.Viz.TreeAPI.ThreeLittleDimensionsExample;D3.Viz.TreeAPI.TreeViz;D3.Viz.TreeAPI.TreemapViz;D3.Viz.TreeAPI.V3GUPDemo;D3.Viz.TreeAPI.V3ParabolaDemo;D3.Viz.TreeAPI.V3TransitionDemo;Data.Argonaut.Core;Data.Array;Data.Array.NonEmpty;Data.Either;Data.Foldable;Data.Function;Data.Int;Data.List;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.Number.Format;Data.String;Data.String.CodeUnits;Data.String.Pattern;Data.Time.Duration;Data.Traversable;Data.Tree;Data.Tuple;DataViz.Layout.Chord;DataViz.Layout.Hierarchy.Cluster;DataViz.Layout.Hierarchy.Core;DataViz.Layout.Hierarchy.EdgeBundle;DataViz.Layout.Hierarchy.Link;DataViz.Layout.Hierarchy.Pack;DataViz.Layout.Hierarchy.Partition;DataViz.Layout.Hierarchy.Tree;DataViz.Layout.Hierarchy.Treemap;DataViz.Layout.Hierarchy.Types;DataViz.Layout.Sankey.CSV;DataViz.Layout.Sankey.Compute;DataViz.Layout.Sankey.Path;DataViz.Layout.Sankey.Types;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Class.Console;Effect.Console;Effect.Random;Effect.Ref;Foreign;Halogen;Halogen.HTML;Halogen.HTML.Properties;Html.Renderer.Halogen;Hylograph.AST;Hylograph.Axis.Axis;Hylograph.Expr.Datum;Hylograph.Expr.Expr;Hylograph.Expr.Friendly;Hylograph.Expr.Integration;Hylograph.Expr.Interpreter.CodeGen;Hylograph.Expr.Interpreter.Eval;Hylograph.Expr.Sugar;Hylograph.ForceEngine.Links;Hylograph.ForceEngine.Simulation;Hylograph.ForceEngine.Types;Hylograph.HATS;Hylograph.HATS.Friendly;Hylograph.HATS.InterpreterTick;Hylograph.Internal.Attribute;Hylograph.Internal.Behavior.FFI;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Capabilities.Transition;Hylograph.Internal.Selection.Operations;Hylograph.Internal.Selection.Types;Hylograph.Internal.Transition.Types;Hylograph.Interpreter.D3;Hylograph.PrismJS;Hylograph.RoutingDSL;Hylograph.Shared.Data;Hylograph.Shared.DataLoader;Hylograph.Shared.SiteNav;Hylograph.Shared.Utilities;Hylograph.Website.Types;Partial.Unsafe;Prelude;Routing.Match;Type.Proxy;Unsafe.Coerce;Web.DOM.Element"
Examples,11,"Component.ExamplesGallery;Control.Alt;Data.Maybe;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
ForceConfigPOC,23,"Component.SimpleForceGraph;D3.Viz.SimpleForceGraph;Data.Maybe;Data.Nullable;Effect;Effect.Aff.Class;Effect.Class;Effect.Ref;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Friendly;Hylograph.ForceEngine.Links;Hylograph.ForceEngine.Simulation;Hylograph.ForceEngine.Types;Hylograph.Internal.Behavior.FFI;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Prelude;Web.DOM.Element"
ForceConfigV2Test,23,"Component.SimpleForceGraph;D3.Viz.SimpleForceGraph;Data.Maybe;Data.Nullable;Effect;Effect.Aff.Class;Effect.Class;Effect.Ref;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Friendly;Hylograph.ForceEngine.Links;Hylograph.ForceEngine.Simulation;Hylograph.ForceEngine.Types;Hylograph.Internal.Behavior.FFI;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Prelude;Web.DOM.Element"
ForcePlayground,49,"Component.ForcePlayground;Control.Alt;D3.Viz.ForcePlayground.Generator;D3.Viz.ForcePlayground.Model;D3.Viz.ForcePlayground.Simple;Data.Array;Data.Array.NonEmpty;Data.Foldable;Data.Int;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.Set;Data.Tuple;Effect;Effect.Aff.Class;Effect.Class;Effect.Console;Effect.Random;Foreign.Object;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Halogen.Svg.Attributes;Halogen.Svg.Attributes.Path;Halogen.Svg.Elements;Hylograph.AST;Hylograph.Expr.Friendly;Hylograph.ForceEngine.Halogen;Hylograph.ForceEngine.Setup;Hylograph.ForceEngine.Simulation;Hylograph.HATS;Hylograph.HATS.Friendly;Hylograph.HATS.InterpreterTick;Hylograph.Internal.Behavior.FFI;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Selection.Types;Hylograph.Kernel.D3.Links;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Simulation;Hylograph.Simulation.Core.Tick;Hylograph.Simulation.Emitter;Hylograph.Transform;Hylograph.Website.Types;Prelude;Routing.Match"
ForcePlaygroundWASM,42,"Component.ForcePlaygroundWASM;Control.Alt;D3.Viz.ForcePlayground.Generator;D3.Viz.ForcePlayground.Model;D3.Viz.ForcePlayground.SimpleWASM;Data.Array;Data.Foldable;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.Set;Data.Tuple;Effect;Effect.Aff.Class;Effect.Class;Effect.Console;Effect.Random;Effect.Ref;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Canvas;Hylograph.Canvas.Zoom;Hylograph.Expr.Friendly;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Hylograph.Kernel.WASM.Engine;Hylograph.Kernel.WASM.Events;Hylograph.Kernel.WASM.Halogen;Hylograph.Kernel.WASM.Simulation;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Simulation.Core.Tick;Hylograph.Transform;Hylograph.Website.Types;Prelude;Routing.Match"
GUPAnimatedTest,1,ARCHIVED
GUPDebug,47,"Affjax.ResponseFormat;Affjax.Web;Component.GUPDebug;D3.Viz.LesMisV3.GUPDemo;D3.Viz.LesMisV3.Model;Data.Argonaut.Core;Data.Array;Data.Either;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.Set;Data.Tuple;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Class.Console;Effect.Random;Foreign;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Datum;Hylograph.Expr.Expr;Hylograph.Expr.Friendly;Hylograph.Expr.Interpreter.Eval;Hylograph.Expr.Sugar;Hylograph.ForceEngine.Halogen;Hylograph.Internal.Behavior.FFI;Hylograph.Internal.Behavior.Types;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Hylograph.Kernel.D3.Events;Hylograph.Kernel.D3.Links;Hylograph.Kernel.D3.Setup;Hylograph.Kernel.D3.Simulation;Hylograph.Kernel.D3.Types;Hylograph.Shared.DataLoader;Hylograph.Simulation.Core.Tick;Prelude;Type.Proxy;Unsafe.Coerce"
GeneralUpdatePattern,30,"Component.GeneralUpdatePattern;Control.Monad.Rec.Class;D3.Viz.TreeAPI.V3GUPDemoFriendly;Data.Array;Data.Int;Data.Maybe;Data.String.CodeUnits;Data.Time.Duration;Data.Traversable;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Class.Console;Effect.Console;Effect.Exception;Effect.Random;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Friendly;Hylograph.Expr.Interpreter.CodeGen;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Internal.Transition.Types;Hylograph.Interpreter.D3;Prelude;Web.DOM.Element"
GettingStarted,18,"Control.Alt;Data.Maybe;Effect;Effect.Aff;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.Attribute;Hylograph.Interpreter.D3;Hylograph.RoutingDSL;Hylograph.Shared.Footer;Hylograph.Shared.SiteNav;Hylograph.Tree;Hylograph.Tutorial.GettingStarted;Hylograph.Website.Types;Prelude;Routing.Match;Type.Proxy"
HATSTransitionTest,20,"Component.HATSTransitionTest;D3.Viz.TreeAPI.HATSTransitionDemo;Data.Array;Data.Int;Data.Maybe;Data.Time.Duration;Effect;Effect.Aff.Class;Effect.Class;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.HATS;Hylograph.HATS.Friendly;Hylograph.HATS.InterpreterTick;Hylograph.Internal.Selection.Types;Hylograph.Internal.Transition.Types;Prelude"
Home,36,"Affjax.ResponseFormat;Affjax.Web;Component.Hero.ConceptGraph;Control.Alt;Data.Array;Data.Either;Data.Int;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.String;Data.String.Pattern;Data.Tuple;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Core;Halogen.HTML.Events;Halogen.HTML.Properties;Halogen.Subscription;Halogen.Svg.Attributes;Halogen.Svg.Elements;Hylograph.ForceEngine;Hylograph.ForceEngine.Simulation;Hylograph.Home;Hylograph.RoutingDSL;Hylograph.Shared.Footer;Hylograph.Website.Types;Prelude;Routing.Match;Type.Proxy;Web.UIEvent.MouseEvent"
HowtoAxesScales,20,"Component.HowTo.HowtoAxesScales;Control.Alt;D3.Viz.FPFTW.ScalesDemo;Data.Array;Data.Int;Data.Maybe;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Scale;Hylograph.Scale.FP;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoDebugging,13,"Component.HowTo.HowtoDebugging;Control.Alt;Data.Maybe;Effect.Aff.Class;Effect.Unsafe;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoEvents,12,"Component.HowTo.HowtoEvents;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoForceGraphs,12,"Component.HowTo.HowtoForceGraphs;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoHierarchical,12,"Component.HowTo.HowtoHierarchical;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoIndex,12,"Control.Alt;Data.Maybe;Effect.Aff;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.HowTo.HowtoIndex;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoLoadingData,13,"Component.HowTo.HowtoLoadingData;Control.Alt;Data.Maybe;Effect.Aff.Class;Foreign;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoPerformance,12,"Component.HowTo.HowtoPerformance;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoTooltips,12,"Component.HowTo.HowtoTooltips;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoTransitions,14,"Component.HowTo.HowtoTransitions;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.Internal.Capabilities.Transition;Hylograph.Internal.Transition.Types;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoTreeAPI,12,"Component.HowTo.HowtoTreeAPI;Control.Alt;Data.Maybe;Effect.Aff.Class;Halogen;Halogen.HTML;Halogen.HTML.Properties;Hylograph.RoutingDSL;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match"
HowtoTreeExplorer,49,"Affjax.ResponseFormat;Affjax.Web;Component.HowTo.HowtoTreeExplorer;Control.Alt;Control.Comonad.Cofree;Data.Array;Data.Either;Data.Enum;Data.Foldable;Data.Int;Data.List;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.String;Data.String.CodePoints;Data.String.CodeUnits;Data.Tree;Data.Tuple;DataViz.Layout.Hierarchy.Link;DataViz.Layout.Hierarchy.Tree;Effect;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Class.Console;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Events;Halogen.HTML.Properties;Hylograph.AST;Hylograph.Expr.Expr;Hylograph.Expr.Integration;Hylograph.Internal.Capabilities.Selection;Hylograph.Internal.Selection.Types;Hylograph.Interpreter.D3;Hylograph.RoutingDSL;Hylograph.Shared.Data;Hylograph.Shared.SiteNav;Hylograph.Website.Types;Prelude;Routing.Match;Web.DOM.Element;Web.DOM.ParentNode;Web.HTML;Web.HTML.HTMLDocument;Web.HTML.Window"
Just,1,unknown
LesMisGUP,36,"Affjax.ResponseFormat;Affjax.Web;Component.Hero.ConceptGraph;Control.Alt;Data.Array;Data.Either;Data.Int;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.String;Data.String.Pattern;Data.Tuple;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Core;Halogen.HTML.Events;Halogen.HTML.Properties;Halogen.Subscription;Halogen.Svg.Attributes;Halogen.Svg.Elements;Hylograph.ForceEngine;Hylograph.ForceEngine.Simulation;Hylograph.Home;Hylograph.RoutingDSL;Hylograph.Shared.Footer;Hylograph.Website.Types;Prelude;Routing.Match;Type.Proxy;Web.UIEvent.MouseEvent"
LesMisGUPClean,36,"Affjax.ResponseFormat;Affjax.Web;Component.Hero.ConceptGraph;Control.Alt;Data.Array;Data.Either;Data.Int;Data.Map;Data.Maybe;Data.Nullable;Data.Number;Data.String;Data.String.Pattern;Data.Tuple;Effect.Aff;Effect.Aff.Class;Effect.Class;Effect.Console;Halogen;Halogen.HTML;Halogen.HTML.Core;Halogen.HTML.Events;Halogen.HTML.Properties;Halogen.Subscription;Halogen.Svg.Attributes;Halogen.Svg.Elements;Hylograph.ForceEngine;Hylograph.ForceEngine.Simulation;Hylograph.Home;Hylograph.RoutingDSL;Hylograph.Shared.Footer;Hylograph.Website.Types;Prelude;Routing.Match;Type.Proxy;Web.UIEvent.MouseEvent"
